epoch,train_loss,accuracy,precision,recall,specificity,f1,auc,mcc,fpr,fnr,tpr,tnr,tp,tn,fp,fn
11,0.018451174400784327,0.8917785234899329,0.8699690402476781,0.9258649093904449,0.8564102563956169,0.897047086991221,0.9586223405004295,0.7849088783104838,0.14358974358728907,0.07413509060833386,0.9258649093904449,0.8564102563956169,562,501,84,45
12,0.017946425161243184,0.8942953020134228,0.8683001531393568,0.9341021416803954,0.852991452976872,0.9,0.958354806460243,0.7905833860492867,0.14700854700603405,0.06589785831851898,0.9341021416803954,0.852991452976872,567,499,86,40
13,0.017712696661685137,0.8884228187919463,0.8590909090909091,0.9341021416803954,0.8410256410112645,0.8950276243093923,0.9578591644489503,0.7795030128822862,0.15897435897164147,0.06589785831851898,0.9341021416803954,0.8410256410112645,567,492,93,40
14,0.017727627058750983,0.8901006711409396,0.863914373088685,0.9308072487644151,0.8478632478487544,0.8961141950832673,0.9582872189132485,0.782250746790494,0.1521367521341515,0.06919275123444493,0.9308072487644151,0.8478632478487544,565,496,89,42
15,0.01760814362205565,0.8842281879194631,0.8515742128935532,0.9357495881383855,0.8307692307550296,0.8916797488226059,0.9585237753277291,0.7718848760685463,0.1692307692278764,0.06425041186055601,0.9357495881383855,0.8307692307550296,568,486,99,39
16,0.01746692827937112,0.889261744966443,0.8670788253477589,0.9242174629324547,0.852991452976872,0.8947368421052632,0.9585603852490179,0.7799372469771645,0.14700854700603405,0.07578253706629683,0.9242174629324547,0.852991452976872,561,499,86,46
17,0.017537680163904525,0.8917785234899329,0.8688271604938271,0.9275123558484349,0.8547008546862445,0.8972111553784861,0.9594474718033202,0.7850737784765207,0.14529914529666155,0.07248764415037087,0.9275123558484349,0.8547008546862445,563,500,85,44
18,0.01708041844520743,0.8917785234899329,0.8757861635220126,0.9176276771004942,0.8649572649424794,0.8962188254223652,0.9593939649952828,0.7842198163299823,0.13504273504042663,0.08237232289814872,0.9176276771004942,0.8649572649424794,557,506,79,50
19,0.017137721255921678,0.8959731543624161,0.8803149606299212,0.9209225700164745,0.8700854700705968,0.9001610305958132,0.9592756867880426,0.7925719830150308,0.12991452991230915,0.07907742998222278,0.9209225700164745,0.8700854700705968,559,509,76,48
20,0.017105856897065654,0.8934563758389261,0.8761755485893417,0.9209225700164745,0.8649572649424794,0.8979919678714859,0.9605063433729001,0.7877042744019763,0.13504273504042663,0.07907742998222278,0.9209225700164745,0.8649572649424794,559,506,79,48
21,0.016648430522568775,0.8959731543624161,0.8815165876777251,0.9192751235584844,0.8717948717799693,0.9,0.9596220729663894,0.7924637988706009,0.12820512820293667,0.08072487644018575,0.9192751235584844,0.8717948717799693,558,510,75,49
22,0.016816691102869433,0.8959731543624161,0.8744186046511628,0.929159802306425,0.8615384615237344,0.9009584664536742,0.9594559202466945,0.7932490182972846,0.13846153845917158,0.0708401976924079,0.929159802306425,0.8615384615237344,564,504,81,43
23,0.016656467785993154,0.889261744966443,0.8637059724349158,0.929159802306425,0.8478632478487544,0.8952380952380953,0.9585406722144778,0.7804681910765602,0.1521367521341515,0.0708401976924079,0.929159802306425,0.8478632478487544,564,496,89,43
24,0.016499610918561534,0.8942953020134228,0.8799368088467614,0.9176276771004942,0.8700854700705968,0.8983870967741936,0.9595066109069403,0.7891010361990437,0.12991452991230915,0.08237232289814872,0.9176276771004942,0.8700854700705968,557,509,76,50
25,0.01644000248364704,0.8926174496644296,0.8759811616954474,0.9192751235584844,0.8649572649424794,0.8971061093247589,0.9594897140201918,0.7859607264545284,0.13504273504042663,0.08072487644018575,0.9192751235584844,0.8649572649424794,558,506,79,49
26,0.016074907487014546,0.889261744966443,0.8682170542635659,0.9225700164744646,0.8547008546862445,0.8945686900958466,0.9592109153888396,0.7797783095067619,0.14529914529666155,0.0774299835242598,0.9225700164744646,0.8547008546862445,560,500,85,47
